"ID","Voter.ID","Weight","Time.Created","Choice","Proposal.ID","Space.ID","Tot.Votes","N.Votes","Prop.Votes","Max.Prop"
"0x7a3360692648765e0c7ddb2ea61bf60888de6a4bdfb18a4189b79070cdc1c8b9","0xf2067CCD06fDdf3DD90d3a850244434214C6143D",1,1658287182,1,"0x8935dab616d261bf36671ab44c64f11efa43dbe3d41291aa1e6e62158ce451cc","poh.eth",1020,620,0.607843137254902,0.607843137254902
"0x049620ed8b382df5054cca5236594d95da226cdf8ef4b565f47fb5f1e39c3508","0x2405075B9B4e6039594Ce493919050810f312bC3",1,1658286104,2,"0x8935dab616d261bf36671ab44c64f11efa43dbe3d41291aa1e6e62158ce451cc","poh.eth",1020,400,0.392156862745098,0.607843137254902
"0xc0fc78be3c3caf6216cc608aafe7c082daeee5cf9f170af1a8c6517c1cf70eaa","0xA0647e76e5aC7742B1d3C85B6aB841F485E62ae5",1,1658286051,2,"0x8935dab616d261bf36671ab44c64f11efa43dbe3d41291aa1e6e62158ce451cc","poh.eth",1020,400,0.392156862745098,0.607843137254902
"0x9a9bd15cc53acc8510a0d8a17da2985069670db681c7fa631642220978d1f717","0x3150933B4A02dD9b47129e0Ac48D352C918FFCC7",1,1658286018,2,"0x8935dab616d261bf36671ab44c64f11efa43dbe3d41291aa1e6e62158ce451cc","poh.eth",1020,400,0.392156862745098,0.607843137254902
"0x6c150c71dc38c0c487b39ef00ed90587f3573f4303a4dc6ef402a65f69a23735","0x087732DE6B2a11F7f3329D76832588ceCd3113bc",1,1658285597,2,"0x8935dab616d261bf36671ab44c64f11efa43dbe3d41291aa1e6e62158ce451cc","poh.eth",1020,400,0.392156862745098,0.607843137254902
"0x62eeb362ae0c34776599253df5113ded0ae4dfe2aa4919537e89994ea6cc3590","0xA6dB627992f5285449E8DEf6fea199f5B65E5A5A",1,1658285572,2,"0x8935dab616d261bf36671ab44c64f11efa43dbe3d41291aa1e6e62158ce451cc","poh.eth",1020,400,0.392156862745098,0.607843137254902
"0x2e2ec3868675061213dae31e6060deee1b0058182b1f4ace46121df5a63b8fb8","0x604072A6C1cE64F5F82353941AE9a1E7eEba40A8",1,1658285536,2,"0x8935dab616d261bf36671ab44c64f11efa43dbe3d41291aa1e6e62158ce451cc","poh.eth",1020,400,0.392156862745098,0.607843137254902
"0xf2b3f4e0473a9c57bb9ec9c28a22b6e640c32c206a6ebc648687dbed1fae0643","0xd0ff950207C7dE2d28FdeB0f3916293E82a21684",1,1658285506,2,"0x8935dab616d261bf36671ab44c64f11efa43dbe3d41291aa1e6e62158ce451cc","poh.eth",1020,400,0.392156862745098,0.607843137254902
"0x11a482c8183390c4b88dd1415732f4369a5f7025a7f060ed5d647ecf20f8ab2f","0x95F50Cf888dFeC90321dC376c1E695F15B081595",1,1658285341,1,"0x8935dab616d261bf36671ab44c64f11efa43dbe3d41291aa1e6e62158ce451cc","poh.eth",1020,620,0.607843137254902,0.607843137254902
"0x5914a88c6fd7f30e860aa62bda7d57ad27af33da018b8b891a10cc5824cee812","0x1ab2676C373cfb91e4fcF6Cdb7dA53afD559f690",1,1658285159,2,"0x8935dab616d261bf36671ab44c64f11efa43dbe3d41291aa1e6e62158ce451cc","poh.eth",1020,400,0.392156862745098,0.607843137254902
"0x2fc7fb3c1f44f81410746b0630cea17e8db90cba3c99922b3e3037ebedb7b5b5","0x9B1b3cBF1FDc821f2687E67E36a36366307432Cf",1,1658285026,2,"0x8935dab616d261bf36671ab44c64f11efa43dbe3d41291aa1e6e62158ce451cc","poh.eth",1020,400,0.392156862745098,0.607843137254902
